index_on_page,tweet_id,tweet_permalink_path,in_reply_to_user,in_reply_to_tweet,quoted_tweet_id,user_screen_name,user_id,user_name,user_location,user_timezone,user_lang,user_bio,user_image_url,date_time,tweet_date,coordinates_long,coordinates_lat,country,location_fullname,location_name,location_type,raw_text,clear_text,user_verified,hashtags,responses_to_tweeter,urls,user_mentions,tweet_language,filter_level,is_retweet,is_quote,is_reply,is_referenced,retweeted_tweet_id,retweeted_user_id,retweeter_ids,is_message,has_image,media_link,has_video,has_link,links,expanded_links,retweets,quotes,favorites,replies,source,mentions_of_tweeter,context_annotations,possibly_sensitive,conversation_id,withheld_copyright,withheld_in_countries,withheld_scope,is_protected_or_deleted,retweeter_api_cursor,views,blue_verified,video_views,user_geo_enabled
65,2049546953004822549,https://x.com/ExplosiveMediaa/status/2049546953004822549,,,,ExplosiveMediaa,2031492622968303620,,Iran,,,"Iranian Lego-style animation team. Fast, Instant, Explosive🔥🤞.
.
.
Lego Resistance Front
#LRF",https://pbs.twimg.com/profile_images/2039670351412760577/MlFKVB2z_normal.jpg,2026-04-29 20:50:46,2026-04-29 00:00:00,,,,,,,"Everything will change.
Soon...","Everything will change.
Soon...",0,,,,,en,,,,,,,,,,,,,,,,134,4,1390,51,Twitter for Android,,,,,,,,,,26821,1,0,0
66,2049951231330656470,https://x.com/Farz_Zaad/status/2049951231330656470,Lionness1019,2049928214831624628,,Farz_Zaad,1676063843183722496,,Planet earth,,,"Farz - imagination /
Zaad - born of ☁️
You think, therefore you are, I am NOT, therefore I KNOW 🙃
https://t.co/hRdvdXGfO6
# check my highlights tab porfa!",https://pbs.twimg.com/profile_images/1926743899193712640/mD8-bHna_normal.jpg,2026-04-30 23:37:14,2026-04-30 00:00:00,,,,,,,@Lionness1019 @b_schoendorff @AnaEscobarShow @ExplosiveMediaa The point of Iran is to teach the world how to think like that again and live in love rather than in fear or fantasies of dominance so hopefully soon you won't have to move for it - although of course it's highly recommended that you visit 🙏🤎✌️,@Lionness1019 @b_schoendorff @AnaEscobarShow @ExplosiveMediaa The point of Iran is to teach the world how to think like that again and live in love rather than in fear or fantasies of dominance so hopefully soon you won't have to move for it - although of course it's highly recommended that you visit 🙏🤎✌️,0,,,,Lionness1019 b_schoendorff AnaEscobarShow ExplosiveMediaa,en,,,,1,,,,,,,,,,,,2,0,6,1,Twitter for Android,,,,,,,,,,63,1,0,0
67,2050068992807825502,https://x.com/Americans_Rise/status/2050068992807825502,b_schoendorff,2049580215941112047,,Americans_Rise,709871306,,Las Vegas,,,"I stand with American people, those that have served our country and continue to serve our country NOT fake patriots serving Zi0nism, Israel, War profiteering",https://pbs.twimg.com/profile_images/2036700512868065280/qaTMTm6V_normal.jpg,2026-05-01 07:25:10,2026-05-01 00:00:00,,,,,,,"@b_schoendorff @ExplosiveMediaa I'm shocked and utterly surprised why this post did not get at least 100k LIKES ?

read it

think about it

it is everything you know, and knew no one else has said yet

it is the difference between the zi0nist controlled West, and the rest of the world. 

You see in every war https://t.co/Zedd2yqg20","@b_schoendorff @ExplosiveMediaa I'm shocked and utterly surprised why this post did not get at least 100k LIKES ?

read it

think about it

it is everything you know, and knew no one else has said yet

it is the difference between the zi0nist controlled West, and the rest of the world. 

You see in every war https://t.co/Zedd2yqg20",0,,,,b_schoendorff ExplosiveMediaa,en,,,,1,,,,,,,https://pbs.twimg.com/amplify_video_thumb/2050068802294136833/img/nX9Jp-oz1A_zWUBe.jpg,1,,,,0,0,0,0,Twitter Web App,,,,,,,,,,11,0,0,0
68,2049904870573092874,https://x.com/NajiMalik695708/status/2049904870573092874,ExplosiveMediaa,2049891608192049177,2049895353097539649,NajiMalik695708,2028092639787233281,,,,,"HSE Engineer Oil & Gas Consultant.
Off The Grid. Resistance.
#WorldWar3 #NeverTrustUSA #AdialaJail #Trump #Iran #Lebanon #Gaza #CandaceOwens",https://pbs.twimg.com/profile_images/2029971845752180736/VVEyI1H8_normal.jpg,2026-04-30 20:33:01,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa https://t.co/pLONu29qW9,@ExplosiveMediaa https://t.co/pLONu29qW9,0,,,,ExplosiveMediaa,qme,,,1,1,,,,,,,,,1,https://t.co/pLONu29qW9,https://x.com/NajiMalik695708/status/2049895353097539649,0,0,2,0,Twitter Web App,,,,,,,,,,98,1,0,0
69,2049895353097539649,https://x.com/NajiMalik695708/status/2049895353097539649,,,,NajiMalik695708,2028092639787233281,,,,,"HSE Engineer Oil & Gas Consultant.
Off The Grid. Resistance.
#WorldWar3 #NeverTrustUSA #AdialaJail #Trump #Iran #Lebanon #Gaza #CandaceOwens",https://pbs.twimg.com/profile_images/2029971845752180736/VVEyI1H8_normal.jpg,2026-04-30 19:55:12,2026-04-30 00:00:00,,,,,,,"Meanwhile Goyim in San Francisco., illuminatti Hub.

Addiction is A Weapon of Self-Destruction.  

Approved By Government Of United States And Satanic Puppet Masters.

The City Of TV Series ( Full House ) Was Nice. (R I P) https://t.co/oNuho7ddm7","Meanwhile Goyim in San Francisco., illuminatti Hub.

Addiction is A Weapon of Self-Destruction.  

Approved By Government Of United States And Satanic Puppet Masters.

The City Of TV Series ( Full House ) Was Nice. (R I P) https://t.co/oNuho7ddm7",0,,,,,en,,,,,,,,,,,https://pbs.twimg.com/amplify_video_thumb/2049892431030890496/img/fVMpJgtHBIaYG72U.jpg,1,,,,1,1,12,1,Twitter Web App,,,,,,,,,,7887,1,0,0
70,2049911487628558786,https://x.com/NarjesNaze21351/status/2049911487628558786,ExplosiveMediaa,2049891608192049177,,NarjesNaze21351,1907932923552219137,,,,,,https://pbs.twimg.com/profile_images/1907933040514576398/18gdP3dF_normal.png,2026-04-30 20:59:18,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa https://t.co/4n9q1njnuG,@ExplosiveMediaa https://t.co/4n9q1njnuG,0,,,,ExplosiveMediaa,qme,,,,1,,,,,,1,https://pbs.twimg.com/media/HHK_oihXkAE3SGB.jpg,,,,,1,0,3,0,Twitter for iPhone,,,,,,,,,,50,0,0,0
71,2049957040362324042,https://x.com/xxlilflyxx/status/2049957040362324042,ExplosiveMediaa,2049891608192049177,,xxlilflyxx,45352764,,"Da South, USA",,,"constitution lovin’, fiscally conservative, social liberalist who suddenly became a “radical democrat” for speaking out against Israel, Trump, & the war on Iran",https://pbs.twimg.com/profile_images/253263042/mascot_normal.jpg,2026-05-01 00:00:19,2026-05-01 00:00:00,,,,,,,"@ExplosiveMediaa I read on a post earlier than when you started your posts/videos, you thought all Americans were like the Epstein class. Sadly, all my life (42 yo) I’ve been raised to believe Iran was a terrible terrorist regime. This war has been life changing for me. Americans are told we are","@ExplosiveMediaa I read on a post earlier than when you started your posts/videos, you thought all Americans were like the Epstein class. Sadly, all my life (42 yo) I’ve been raised to believe Iran was a terrible terrorist regime. This war has been life changing for me. Americans are told we are",0,,,,ExplosiveMediaa,en,,,,1,,,,,,,,,,,,3,0,28,2,Twitter for iPhone,,,,,,,,,,331,1,0,0
72,2049672715573829746,https://x.com/JerriGrail/status/2049672715573829746,ExplosiveMediaa,2049441150872809719,,JerriGrail,4060566194,,,,,🔁reposts do not indicate endorsement.,https://pbs.twimg.com/profile_images/1857426015372328960/5pvmtBBs_normal.jpg,2026-04-30 05:10:31,2026-04-30 00:00:00,,,,,,,@ExplosiveMediaa @asanza2420 Sarah is the most despicable woman in the Bible.,@ExplosiveMediaa @asanza2420 Sarah is the most despicable woman in the Bible.,0,,,,ExplosiveMediaa asanza2420,en,,,,1,,,,,,,,,,,,0,0,0,0,Twitter for iPad,,,,,,,,,,29,0,0,0
73,2050018442535989396,https://x.com/qhXDUbcrHV82530/status/2050018442535989396,,,2049967759963087063,qhXDUbcrHV82530,1764814007213699072,,,,,,https://pbs.twimg.com/profile_images/1764814175396823040/cpZuMaFy_normal.jpg,2026-05-01 04:04:18,2026-05-01 00:00:00,,,,,,,これは、侵略者が我々からペルシャ湾を奪おうとした初めての時ではない。 歴史を見てみろ。 帽子を見てみろ…  オランダ、ポルトガル、そしてイギリスは、あなたよりもずっと前に我々を試した。 そして結果はいつも同じだった。 ホルムズは我々のものだ,これは、侵略者が我々からペルシャ湾を奪おうとした初めての時ではない。 歴史を見てみろ。 帽子を見てみろ…  オランダ、ポルトガル、そしてイギリスは、あなたよりもずっと前に我々を試した。 そして結果はいつも同じだった。 ホルムズは我々のものだ,0,,,,,ja,,,1,,,,,,,,,,,,,0,0,0,0,Twitter Web App,,,,,,,,,,11,0,0,0
74,2049967759963087063,https://x.com/ExplosiveMediaa/status/2049967759963087063,,,2049891608192049177,ExplosiveMediaa,2031492622968303620,,Iran,,,"Iranian Lego-style animation team. Fast, Instant, Explosive🔥🤞.
.
.
Lego Resistance Front
#LRF",https://pbs.twimg.com/profile_images/2039670351412760577/MlFKVB2z_normal.jpg,2026-05-01 00:42:55,2026-05-01 00:00:00,,,,,,,"This isn’t the first time invaders have tried to take the Persian Gulf from us.
Look at history.
Look at the hats...

The Dutch, Portugal, and Britain tried us long before you.
And the result was always the same.
Hormuz is ours. https://t.co/smo4A0F8Bn","This isn’t the first time invaders have tried to take the Persian Gulf from us.
Look at history.
Look at the hats...

The Dutch, Portugal, and Britain tried us long before you.
And the result was always the same.
Hormuz is ours. https://t.co/smo4A0F8Bn",0,,,,,en,,,1,,,,,,,1,https://pbs.twimg.com/media/HHLx1j0bMAAB9rr.jpg https://pbs.twimg.com/media/HHLx1jVaUAAHRId.jpg https://pbs.twimg.com/media/HHLx1q-bAAA4vwb.jpg,,,,,174,1,571,14,Twitter for Android,,,,,,,,,,8202,1,0,0
